name,short_description,detail,tags,established_date,size,address,branches,impressum_link,website
steinrücke+ich gmbh,Agentur für Kommunikation und Fundraising für soziale Anliegen,"Mit kühlem Kopf, glühender Leidenschaft und jahrzehntelanger Erfahrung betreuen wir ausschließlich Kund*innen aus dem Non-Profit-Bereich in allen Fragen der Kommunikation und des Fundraisings. Für sie konzipieren wir integrierte Awareness-, Mobilisierungs- und Spendenkampagnen, die ankommen und mitreißen. Für sie machen wir jede Botschaft sicht- und hörbar und gestalten alle Arten von Medien und Materialien – vom einfachen Flyer bis zum TV-Spot.","Konzeption, Kreation, Strategieentwicklung",2001,5—9,steinrücke+ich gmbhD-50672 KölnDeutschland,"Werbeagenturen
Corporate Designer
PR-
Agenturen",http://steinrueckeundich.de,https://steinrueckeundich.de/
Reply42,E-Commerece und Marketing Agentur aus der Praxis.,"Digitale Geschäftsmodelle bilden unsere Wurzeln. Unser Team aus über 20 Programmieren, Designern und Marketing Fachleuten ist auf die Entwicklung von individuellen E-Commerce-Lösungen spezialisiert, die verkaufen. Wir vereinen Design, Entwicklung und Marketing unter einem Dach und gewährleisten so effiziente Abläufe und Ergebnisse aus einem Guss.","Crm, Warenwirtschaft, Webdesign, Marketing, Messenger, Leads, Sales, Conversion",2007,20—49,Reply42D-36088 HünfeldDeutschland,"Werbeagenturen
Internetagenturen
Entwicklung",https://reply42.com/ueber/,https://reply42.com/
Hi&Lo GmbH,BRANDING & IDENTITY | WEB DEVELOPMENT | PRODUCTION & VISUALISATION | PRESENTATION SERVICES,"Wir sind Macher. Querdenker und Visionäre. Sind Solution-Architects und Projekt-Junkies. Wir laufen dort zur Höchstform auf, wo andere längst aufhören. Das, was jenseits der 100% liegt, ist unser Anspruch. Highly specified Individuals, die eine Mission leben: Alles möglich zu machen.Wir realisieren Ihre Vision. Wir sind Ihr Navigator durch Projekte jeder Größenordnung und steuern alle beteiligten Ressourcen. Aus unserem umfassenden Netzwerk aus hochqualifizierten Spezialisten, wählen wir die für Ihre Anforderungen perfekten Partner, koordinieren Prozesse, optimieren Abläufe und liefern so Ergebnisse, die neue Standards setzen.Unsere Leistungen:Website ErstellungLandingpagesOnline-Shops SEO / SEA Social Media StrategieFilmproduktion3D-VisualisierungAugmented Reality | Virtual RealityPräsentationserstellungKonzeption -Power-Point MoviesPower-Point Mastervorlagen","Filmproduktion, Imagefilme, Recruiting-Filme, Webcasts, 3D-Visualisierung, Augmented Reality, Virtual Reality, Onlineshops, SEO/Sea, Social Media, Storytelling, Websites, Präsentationserstellung",2017,5—9,Hi&Lo GmbHD-55122 MainzDeutschland,"Film/
Video
Internetagenturen
Corporate Designer",https://hilo-agency.de/de/impressum/,https://hilo-agency.de/
Blanx,Visualization for Communcation and Transformation,"BLANX ist gleichzeitig kreative Agentur und Produktionshaus unter einem Dach. Mit einem Team von Experten unterschiedlicher Disziplinen erschaffen wir seit 2000 digitale Visualisierung für Kommunikation und Transformation. Unsere Kunden sind international operierende, namhafte Unternehmen, sowie Werbeagenturen und Film & Fernsehproduktionen.","Virtual Reality, Augmented Reality, Mixed Reality, Animation",2000,10—19,BlanxD-50674 KölnDeutschland,"Messe
Eventagenturen
Internetagenturen",https://www.blanx.de/en/impressum/,https://www.blanx.de/en/
Gmk GmbH & Co. KG – Medien. Marken. Kommunikation.,Herzblut inside!,"Egal ob digitale Strategie oder neues Corporate Design – bei uns bekommst du alles aus einer Hand, mit optimalem Ergebnis und so viel Leidenschaft, dass Herzklopfen vorprogrammiert ist. Ob Mittelständler oder Global Player, wir – 17 Spezialisten aus der klassischen und digitalen Welt – holen aus Unternehmen, Marken und Projekten seit über 20 Jahren das Beste heraus. Dabei agieren wir als Full-Focus-Agentur und konzentrieren uns immer auf das optimale Ergebnis!","Beratung, Strategie, Konzeption, Markenbildung, Logo, Corporate Design, Grafikdesign, Layout, Webentwicklung, Webdesign, Social Media, Text, Kampagne, Fotografie, PR, Messe, 3D, Print, Digital",1992,10—19,Gmk GmbH & Co. KG – Medien. Marken. Kommunikation.Information nur für MitgliederD-95448 BayreuthDeutschland,"Werbeagenturen
Internetagenturen
Corporate Designer",https://www.gmk.de/information/impressum/,https://www.gmk.de/
All:Airt GmbH,Social Media Marketing für Unternehmen,"Unser Team ist mit Social Media groß geworden. Wir wissen worauf es ankommt, wenn es darum geht erfolgreich eine Brand auf Instagram, Facebook, Snapchat, Twitter und LinkedIn aufzubauen.Es ist unser täglicher Job auf den Plattformen aktiv zu sein und zu verstehen wo die Aufmerksamkeit der Nutzer liegt und mit welchen Inhalten man Menschen überraschen, faszinieren und begeistern kann. Wir als Agentur investieren selbst kontinuierlich in Social Media, indem wir eine Influencer Community aufbauen und uns mit Content Creators vernetzen, die auf den Plattformen leben und arbeiten. Dadurch erhalten wir das aktuellste Wissen direkt von den Quellen der Social Media Trends. Damit sind wir einzigartig in Karlsruhe!","social media marketing, social media, marketing, content creation, influencer, performance marketing, facebook, instagram, linkedin, youtube, xing, twitter",2018,10—19,All:Airt GmbHD-76135 KarlsruheDeutschland,"Werbeagenturen
Illustratoren
Film/
Video",https://allairt.com/impressum,https://allairt.com/
Somethings – Design Studio,Berlins Design Studio – Web design Ecommerce and Branding,"What if you’re asked: „Who are you?“ The normal response is to give your name. By giving your name you feel you have answered that question. But once again the answer is right and wrong.That is how we think when we design, we take care of the usual factors and stay creative to give birth to other factors which will make your business unique and different.Branding, web design, ecommerce, UI / UX are our specialities, and we are also used to mix them together to create artworks that bring success and make profit.Tell us about your project or idea, we will bring it to life.","design agentur, design agency, somethings, webdesign, online store, ecommerce",2015,10—19,Somethings – Design StudioD-10243 BerlinDeutschland,"Werbeagenturen
Internetagenturen
Web-
Konzepter",http://so-me-things.com/somethings-terms-and-imprint.html,http://www.so-me-things.com/
why do birds GmbH,"why do birds ist eine Agentur für Audio Branding, Motion Branding und Service Design.","Wir konzipieren und gestalten Sound, Musik und Bewegtbild für Marken, Räume und Menschen. Wir übersetzen Ideen, Geschichten und Services in lebendige und unvergessliche Erlebnisse.","Audio, Motion, Branding, Design, Service, Marken, Beratung",2010,10—19,why do birds GmbHD-10117 BerlinDeutschland,Werbeagenturen,https://www.whydobirds.de/impressum/,https://www.whydobirds.de/
Make It Tetten GmbH,Agentur für digitales Marketing,"Die MAKE IT TETTEN GmbH ist ein junges dynamisches Unternehmen, das sich als Agentur für digitales Marketing positioniert hat. Gegründet wurde das Unternehmen 2017 in Berlin als Einzelunternehmen und ist seit Mai 2018 offiziell eine GmbH mit Hauptsitz in Duisburg. Das Leistungsspektrum deckt den kompletten digitalen Marketing Bereich ab. Angefangen von Logodesign und CI Erstellung, über Web(-shop)design, bis hin zu Social Media, SEO, Newsletter und vielem mehr.Zum Kundenstamm gehören bereits bekannte Namen und der Mix aus bestehenden Kunden und einzelnen Projekten wächst rasant.Um das Ziel – eine der größten deutschen Werbeagenturen mit internationalem Einfluss – zu erreichen, gilt es Schritt für Schritt ein dynamisches, motiviertes und einzigartiges Team auf die Beine zu stellen. Daher suchen wir zum schnellstmöglichen Zeitpunkt Personen, die uns mit Herz und Kompetenz auf unserem Erfolgsweg verstärken.","Video, Content, Creator, Design, Marketing",2017,5—9,Make It Tetten GmbHD-47058 DuisburgDeutschland,"Werbeagenturen
Illustratoren
Internetagenturen",https://makeittetten.de/impressum,https://www.makeittetten.de/
zwanzigzehn GmbH,"Wir haben eine Leidenschaft für Onlineshops, insbesondere Shops im Fashion-Bereich. Aber selbstverständlich stellen wir uns…","Die Wünsche der Kunden sind unsere Herausforderungen. Wir entwickeln gemeinsam Ideen und zeigen Möglichkeiten, wie sich Internetprojekte erfolgreich realisieren lassen. Mit unserer Erfahrung, Kenntnissen über die Gegebenheiten des Marktes und Verbindungen zu strategisch wichtigen Partnern, begleiten wir unsere Kunden in allen Phasen des Projekts und sind auch nach Erreichen des Ziels beratend und unterstützend tätig. Zufrieden sind wir erst, wenn die Projekte erfolgreich sind.Wir haben eine Leidenschaft für Onlineshops, insbesondere Shops im Fashion-Bereich. Wir kennen die Abläufe und Notwendigkeiten, die Anbindung an Warenwirtschaftssysteme, Fotografie der Ware, Verpackung, Logistik und natürlich die Zahlungsmechanismen. Aber selbstverständlich stellen wir uns auch anderen interessanten Projekten!",,2010,5—9,zwanzigzehn GmbHD-20251 HamburgDeutschland,"Screendesign
Internetagenturen
Web-
Konzepter",http://2010.de/impressum.php,http://www.2010.de/
